LeaseName,WellNumber,WellStatus,WellType,WellTypeLa,OperatorCo,OperatorNa,Latitude,Longitude
LAI 1,5513,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,34.00255585,-118.371521
L.A.Investment 1,105,Plugged,OG,Oil & Gas,C5640,Chevron U.S.A. Inc.,34.00257874,-118.3714523
Vickers 1,41,Idle,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,34.00259018,-118.3760605
Baldwin-Cienega,105,Idle,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,34.00259399,-118.3656616
LAI-BC-LW,12,Plugged,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,34.00261307,-118.3680801
LAI 1,385,Active,WF,Waterflood,S2641,Sentinel Peak Resources California LLC,34.00262833,-118.3681107
LAI 1,4573,Active,WF,Waterflood,S2641,Sentinel Peak Resources California LLC,34.00263214,-118.3731613
BC,424,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,34.00263596,-118.3661881
LAI 1,401,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,34.00263596,-118.3700256
Vickers 1,63,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,34.00263977,-118.3751373
LAI 1,66-A,Plugged,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,34.00264359,-118.3730621
LAI 1,5553,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,34.00265121,-118.3698654
LAI 1,645,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,34.00265503,-118.3733444
LAI 1,367,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,34.00267029,-118.3698273
Baldwin-Cienega,46,Plugged,OG,Oil & Gas,C5640,Chevron U.S.A. Inc.,34.00268173,-118.362915
LAI-BC-LW,404,Idle,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,34.002682,-118.368049
LAI 1,394,Active,WF,Waterflood,S2641,Sentinel Peak Resources California LLC,34.00268555,-118.3700333
Vickers 1,117-A,Idle,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,34.00268936,-118.3792648
LAI 1,375,Idle,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,34.00269318,-118.3732452
Baldwin-Cienega,15,Plugged,WF,Waterflood,C5640,Chevron U.S.A. Inc.,34.00269699,-118.3667526
Lease by Olympic Realty Corp.,1,Plugged,DH,Dry Hole,6452,Olympic Realty Corp.,34.00270462,-118.4159317
BC,6512,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,34.00270844,-118.3662109
LAI 1,400,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,34.00272751,-118.3731689
VIC-LAI-LW,10,Active,WF,Waterflood,S2641,Sentinel Peak Resources California LLC,34.00272751,-118.3754044
Cable,1,Plugged,OG,Oil & Gas,4729,John M. Young,34.00273514,-118.1699753
LAI 1,473,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,34.00273895,-118.370079
LAI 1,446,Active,WF,Waterflood,S2641,Sentinel Peak Resources California LLC,34.00274658,-118.3679886
Vickers-LAI-LW,6,Plugged,INJ,Injection,C5640,Chevron U.S.A. Inc.,34.00276184,-118.3763809
LAI 1,399,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,34.00276184,-118.3731079
BC-LAI-LW,215,Plugged,Multi,Multi-Purpose,S2641,Sentinel Peak Resources California LLC,34.00276566,-118.3667602
LAI 1,107,Plugged,UNK,Unknown,S2641,Sentinel Peak Resources California LLC,34.00276566,-118.369812
LAI 1,5533,Idle,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,34.00277328,-118.3701096
Vickers 1,745,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,34.00279617,-118.3767319
LAI 1,473,Idle,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,34.002804,-118.3703
LAI 1,372,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,34.00282288,-118.3699264
Signal-Standard La Tijera E.H.,1,Plugged,DH,Dry Hole,P3100,Phillips Petroleum Company,34.00283813,-118.3317184
BC,125,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,34.00288391,-118.3649902
Lease by The Superior Oil Co.,A-1,Plugged,OG,Oil & Gas,S7500,The Superior Oil Co.,34.00289536,-117.9857941
LAI 1,277,Plugged,UNK,Unknown,S2641,Sentinel Peak Resources California LLC,34.00289917,-118.3698273
VIC-LAI-LW,8,Idle,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,34.00290298,-118.3767548
Vickers 1,90,Plugged,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,34.00291061,-118.3792114
Vickers 1,84,Active,WF,Waterflood,S2641,Sentinel Peak Resources California LLC,34.00294876,-118.3754959
BC,170,Active,WF,Waterflood,S2641,Sentinel Peak Resources California LLC,34.00295258,-118.3661957
BC,210,Active,WF,Waterflood,S2641,Sentinel Peak Resources California LLC,34.00295258,-118.3661957
Vickers 1,79,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,34.00295639,-118.3768158
LAI 1,89,Plugged,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,34.00296402,-118.3737564
LAI 1,37,Plugged,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,34.00296783,-118.3680725
Gregg,1,Plugged,OG,Oil & Gas,U0200,Union Oil Company of California,34.00301743,-118.0564957
BC,115,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,34.00302124,-118.3661728
Vickers 1,24,Plugged,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,34.00302124,-118.3756867
L.A.Investment 1,25,Plugged,OG,Oil & Gas,C5640,Chevron U.S.A. Inc.,34.00304031,-118.3693848
Vickers 1,95,Plugged,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,34.00304031,-118.3763504
BC,36,Plugged,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,34.00305557,-118.3642349
LAI 1,5554,Idle,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,34.00308609,-118.370575
Lease by Citrus Grove Hts. Water Co.,1,Plugged,OG,Oil & Gas,1623,Citrus Grove Hts. Water Co.,34.0030899,-118.0556717
L.A. Investment 1,26,Plugged,OG,Oil & Gas,C5640,Chevron U.S.A. Inc.,34.00309372,-118.3707199
Vickers 1,60,Active,WF,Waterflood,S2641,Sentinel Peak Resources California LLC,34.00309372,-118.3773041
