LeaseName,WellNumber,WellStatus,WellType,WellTypeLa,OperatorCo,OperatorNa,Latitude,Longitude
Baldwin-Cienega,143,Plugged,OG,Oil & Gas,C5640,Chevron U.S.A. Inc.,33.99976349,-118.3625946
BC,637,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99977493,-118.3631515
BC,233,Idle,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99978638,-118.3643875
Baldwin Cienega,33,Plugged,OG,Oil & Gas,C5640,Chevron U.S.A. Inc.,33.99978638,-118.3644333
LAI 1,224,Plugged,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99979019,-118.371315
C.W.O.D.,15,Plugged,OG,Oil & Gas,G1200,General Exploration Co.,33.99980164,-118.1649475
BC,635,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99980545,-118.3626099
L.A. Investment 1,41,Plugged,OG,Oil & Gas,C5640,Chevron U.S.A. Inc.,33.99980545,-118.3695831
Vickers 1,3,Plugged,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99982834,-118.3740768
Vickers 1,45,Plugged,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99982834,-118.3762817
Grey,1,Plugged,OG,Oil & Gas,10374,Watt Communities at Hadley Trails LLC,33.999844,-118.054708
Lease by Watt Communities at Hadley Trails LLC,P-1,Plugged,OG,Oil & Gas,10374,Watt Communities at Hadley Trails LLC,33.99985,-118.05469
Edison,2,Plugged,OG,Oil & Gas,W1600,Western Avenue Properties,33.99985123,-118.1437149
LAI 1,192,Plugged,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99986649,-118.3722382
LAI 1,313,Plugged,WF,Waterflood,S2641,Sentinel Peak Resources California LLC,33.99987411,-118.3714905
C.W.O.D.,10,Plugged,OG,Oil & Gas,G1200,General Exploration Co.,33.99988556,-118.1649094
Rowland,1,Plugged,OG,Oil & Gas,230,Alleghaney Petro. Corp.,33.99992371,-117.903801
VIC-LAI-LW,1,Active,WF,Waterflood,S2641,Sentinel Peak Resources California LLC,33.99992371,-118.3742447
Vickers 1,57,Idle,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99993134,-118.3743133
LAI 1,423,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99993896,-118.3714676
Vickers 1,1,Plugged,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99994278,-118.3742447
Whitley,6,Plugged,OG,Oil & Gas,O1700,"Olson & Gregg, Inc.",33.99994278,-118.0521164
C.W.O.D.,7,Plugged,OG,Oil & Gas,G1200,General Exploration Co.,33.99994659,-118.1648788
BC,201,Active,WF,Waterflood,S2641,Sentinel Peak Resources California LLC,33.99994659,-118.3647079
