FIPS,Area Name,Census Tract,Total Population:,Total: White,Total: Black,Total: AmerIndian,Total: Asian,Total: Hawaiian and PacIslander,Total: Other,Total: Mixed,% Total: White,% Total: Black,% Total: AmerIndian,% Total: Asian,% Total: Hawaiian and PacIslander,% Total: Other,% Total: Mixed,Total: Not Hispanic or Latino,Total: Hispanic or Latino,% Total: Not Hispanic or Latino,% Total: Hispanic or Latino
6037115202,Census Tract 1152.02,115202,5684,2711,550,0,848,0,1246,329,47.7,9.68,0,14.92,0,21.92,5.79,3409,2275,59.98,40.02
6037115301,Census Tract 1153.01,115301,4524,2749,150,9,1096,0,339,181,60.76,3.32,0.2,24.23,0,7.49,4,3643,881,80.53,19.47
6037115302,Census Tract 1153.02,115302,3957,1995,260,60,388,0,1163,91,50.42,6.57,1.52,9.81,0,29.39,2.3,1166,2791,29.47,70.53
6037115401,Census Tract 1154.01,115401,6373,3790,253,0,729,0,1426,175,59.47,3.97,0,11.44,0,22.38,2.75,3154,3219,49.49,50.51
6037115403,Census Tract 1154.03,115403,3583,1476,227,0,548,0,1074,258,41.19,6.34,0,15.29,0,29.97,7.2,1608,1975,44.88,55.12
6037115404,Census Tract 1154.04,115404,2800,1243,197,15,474,35,696,140,44.39,7.04,0.54,16.93,1.25,24.86,5,1467,1333,52.39,47.61
6037117101,Census Tract 1171.01,117101,5224,896,491,0,2069,0,1489,279,17.15,9.4,0,39.61,0,28.5,5.34,3175,2049,60.78,39.22
6037117102,Census Tract 1171.02,117102,2861,1600,66,5,331,0,784,75,55.92,2.31,0.17,11.57,0,27.4,2.62,1083,1778,37.85,62.15
6037117201,Census Tract 1172.01,117201,5191,2017,296,0,673,0,1803,402,38.86,5.7,0,12.96,0,34.73,7.74,1693,3498,32.61,67.39
6037117202,Census Tract 1172.02,117202,2633,1282,245,19,719,0,235,133,48.69,9.3,0.72,27.31,0,8.93,5.05,1828,805,69.43,30.57
6037117301,Census Tract 1173.01,117301,3910,2130,94,0,714,0,779,193,54.48,2.4,0,18.26,0,19.92,4.94,2554,1356,65.32,34.68
6037117302,Census Tract 1173.02,117302,5229,3145,611,13,850,113,315,182,60.15,11.68,0.25,16.26,2.16,6.02,3.48,3901,1328,74.6,25.4
6037117303,Census Tract 1173.03,117303,3754,1839,148,3,657,0,989,118,48.99,3.94,0.08,17.5,0,26.35,3.14,2058,1696,54.82,45.18
6037117404,Census Tract 1174.04,117404,5324,2569,66,11,823,0,1551,304,48.25,1.24,0.21,15.46,0,29.13,5.71,3083,2241,57.91,42.09
6037117405,Census Tract 1174.05,117405,3574,952,115,0,99,0,2408,0,26.64,3.22,0,2.77,0,67.38,0,259,3315,7.25,92.75
6037117407,Census Tract 1174.07,117407,3836,730,49,52,90,0,2894,21,19.03,1.28,1.36,2.35,0,75.44,0.55,174,3662,4.54,95.46
6037117408,Census Tract 1174.08,117408,3073,1079,145,0,333,0,1440,76,35.11,4.72,0,10.84,0,46.86,2.47,618,2455,20.11,79.89
6037117510,Census Tract 1175.10,117510,3687,1270,128,18,274,0,1997,0,34.45,3.47,0.49,7.43,0,54.16,0,750,2937,20.34,79.66
6037117520,Census Tract 1175.20,117520,4168,969,255,0,331,0,2468,145,23.25,6.12,0,7.94,0,59.21,3.48,738,3430,17.71,82.29
6037117530,Census Tract 1175.30,117530,6742,1909,125,0,740,21,3769,178,28.32,1.85,0,10.98,0.31,55.9,2.64,1370,5372,20.32,79.68
6037119001,Census Tract 1190.01,119001,4435,2537,14,30,614,0,1133,107,57.2,0.32,0.68,13.84,0,25.55,2.41,1275,3160,28.75,71.25
6037119002,Census Tract 1190.02,119002,7976,4866,107,34,766,0,1892,311,61.01,1.34,0.43,9.6,0,23.72,3.9,1332,6644,16.7,83.3
6037119201,Census Tract 1192.01,119201,4547,2680,30,46,275,0,1438,78,58.94,0.66,1.01,6.05,0,31.63,1.72,561,3986,12.34,87.66
6037119202,Census Tract 1192.02,119202,4759,2374,35,95,314,0,1872,69,49.88,0.74,2,6.6,0,39.34,1.45,533,4226,11.2,88.8
6037119310,Census Tract 1193.10,119310,4087,1693,214,22,648,0,1434,76,41.42,5.24,0.54,15.86,0,35.09,1.86,1401,2686,34.28,65.72
6037119320,Census Tract 1193.20,119320,4906,1085,296,0,861,0,2576,88,22.12,6.03,0,17.55,0,52.51,1.79,1480,3426,30.17,69.83
6037119340,Census Tract 1193.40,119340,4264,1497,173,23,116,0,2455,0,35.11,4.06,0.54,2.72,0,57.58,0,265,3999,6.21,93.79
6037119341,Census Tract 1193.41,119341,2890,840,137,14,787,0,1097,15,29.07,4.74,0.48,27.23,0,37.96,0.52,1330,1560,46.02,53.98
6037119342,Census Tract 1193.42,119342,2911,1082,58,19,378,0,1266,108,37.17,1.99,0.65,12.99,0,43.49,3.71,662,2249,22.74,77.26
6037119400,Census Tract 1194,119400,5499,2910,115,0,485,0,1774,215,52.92,2.09,0,8.82,0,32.26,3.91,1029,4470,18.71,81.29
6037119700,Census Tract 1197,119700,4913,2862,179,0,1116,0,589,167,58.25,3.64,0,22.72,0,11.99,3.4,2622,2291,53.37,46.63
6037119800,Census Tract 1198,119800,6054,3627,68,0,803,6,1440,110,59.91,1.12,0,13.26,0.1,23.79,1.82,1455,4599,24.03,75.97
6037119900,Census Tract 1199,119900,5245,2167,39,32,1122,0,1793,92,41.32,0.74,0.61,21.39,0,34.18,1.75,1719,3526,32.77,67.23
6037120010,Census Tract 1200.10,120010,2704,874,75,0,429,0,1248,78,32.32,2.77,0,15.87,0,46.15,2.88,719,1985,26.59,73.41
6037120020,Census Tract 1200.20,120020,3872,979,283,0,648,0,1914,48,25.28,7.31,0,16.74,0,49.43,1.24,1023,2849,26.42,73.58
6037120030,Census Tract 1200.30,120030,2666,694,72,0,168,0,1732,0,26.03,2.7,0,6.3,0,64.97,0,324,2342,12.15,87.85
6037120103,Census Tract 1201.03,120103,3452,972,101,0,100,0,2253,26,28.16,2.93,0,2.9,0,65.27,0.75,216,3236,6.26,93.74
6037120104,Census Tract 1201.04,120104,2228,651,146,5,348,9,1034,35,29.22,6.55,0.22,15.62,0.4,46.41,1.57,781,1447,35.05,64.95
6037120105,Census Tract 1201.05,120105,2832,917,41,33,483,0,1331,27,32.38,1.45,1.17,17.06,0,47,0.95,679,2153,23.98,76.02
6037120106,Census Tract 1201.06,120106,4763,1633,73,21,727,0,2236,73,34.29,1.53,0.44,15.26,0,46.95,1.53,929,3834,19.5,80.5
6037120107,Census Tract 1201.07,120107,3893,1241,78,11,275,4,2253,31,31.88,2,0.28,7.06,0.1,57.87,0.8,496,3397,12.74,87.26
6037120108,Census Tract 1201.08,120108,4732,1844,150,83,249,23,2356,27,38.97,3.17,1.75,5.26,0.49,49.79,0.57,808,3924,17.08,82.92
6037120300,Census Tract 1203,120300,5238,1729,71,103,1038,12,2046,239,33.01,1.36,1.97,19.82,0.23,39.06,4.56,1895,3343,36.18,63.82
6037120400,Census Tract 1204,120400,6769,2756,376,0,1265,0,2077,295,40.72,5.55,0,18.69,0,30.68,4.36,2902,3867,42.87,57.13
6037121010,Census Tract 1210.10,121010,4934,2615,128,22,535,0,1634,0,53,2.59,0.45,10.84,0,33.12,0,2138,2796,43.33,56.67
6037121020,Census Tract 1210.20,121020,3610,2368,127,0,437,0,595,83,65.6,3.52,0,12.11,0,16.48,2.3,1486,2124,41.16,58.84
6037121101,Census Tract 1211.01,121101,2862,1949,28,0,272,0,561,52,68.1,0.98,0,9.5,0,19.6,1.82,866,1996,30.26,69.74
6037121102,Census Tract 1211.02,121102,2479,2126,0,0,108,0,194,51,85.76,0,0,4.36,0,7.83,2.06,1277,1202,51.51,48.49
6037121210,Census Tract 1212.10,121210,2926,1604,49,32,353,6,743,139,54.82,1.67,1.09,12.06,0.21,25.39,4.75,784,2142,26.79,73.21
6037121221,Census Tract 1212.21,121221,2420,1655,13,0,68,0,640,44,68.39,0.54,0,2.81,0,26.45,1.82,400,2020,16.53,83.47
6037121222,Census Tract 1212.22,121222,5139,3551,86,8,168,0,1156,170,69.1,1.67,0.16,3.27,0,22.49,3.31,506,4633,9.85,90.15
6037121600,Census Tract 1216,121600,2735,1604,37,6,641,0,368,79,58.65,1.35,0.22,23.44,0,13.46,2.89,1825,910,66.73,33.27
6037121801,Census Tract 1218.01,121801,3127,1527,95,0,91,0,1296,118,48.83,3.04,0,2.91,0,41.45,3.77,807,2320,25.81,74.19
6037121802,Census Tract 1218.02,121802,3216,1832,204,73,207,1,808,91,56.97,6.34,2.27,6.44,0.03,25.12,2.83,1282,1934,39.86,60.14
6037121900,Census Tract 1219,121900,3761,2740,89,0,91,0,698,143,72.85,2.37,0,2.42,0,18.56,3.8,833,2928,22.15,77.85
6037122000,Census Tract 1220,122000,5892,3929,178,11,549,0,994,231,66.68,3.02,0.19,9.32,0,16.87,3.92,3029,2863,51.41,48.59
6037122120,Census Tract 1221.20,122120,5011,2705,186,124,183,0,1536,277,53.98,3.71,2.47,3.65,0,30.65,5.53,958,4053,19.12,80.88
6037122121,Census Tract 1221.21,122121,2829,1958,122,7,169,0,446,127,69.21,4.31,0.25,5.97,0,15.77,4.49,566,2263,20.01,79.99
6037122122,Census Tract 1221.22,122122,2728,1887,22,18,21,0,731,49,69.17,0.81,0.66,0.77,0,26.8,1.8,130,2598,4.77,95.23
6037122200,Census Tract 1222,122200,3469,2636,20,0,84,0,613,116,75.99,0.58,0,2.42,0,17.67,3.34,863,2606,24.88,75.12
6037122410,Census Tract 1224.10,122410,3457,2088,117,121,151,0,893,87,60.4,3.38,3.5,4.37,0,25.83,2.52,727,2730,21.03,78.97
6037122420,Census Tract 1224.20,122420,4503,2366,77,0,326,0,1701,33,52.54,1.71,0,7.24,0,37.77,0.73,1078,3425,23.94,76.06
6037123010,Census Tract 1230.10,123010,4027,3117,88,0,98,17,601,106,77.4,2.19,0,2.43,0.42,14.92,2.63,703,3324,17.46,82.54
6037123020,Census Tract 1230.20,123020,3250,2046,70,9,95,0,855,175,62.95,2.15,0.28,2.92,0,26.31,5.38,466,2784,14.34,85.66
6037123103,Census Tract 1231.03,123103,3808,2568,217,0,419,0,452,152,67.44,5.7,0,11,0,11.87,3.99,1737,2071,45.61,54.39
6037123104,Census Tract 1231.04,123104,4416,2878,166,0,310,0,950,112,65.17,3.76,0,7.02,0,21.51,2.54,1713,2703,38.79,61.21
6037123203,Census Tract 1232.03,123203,4094,2417,440,9,4,113,925,186,59.04,10.75,0.22,0.1,2.76,22.59,4.54,1018,3076,24.87,75.13
6037123204,Census Tract 1232.04,123204,3129,1425,143,33,150,0,1321,57,45.54,4.57,1.05,4.79,0,42.22,1.82,842,2287,26.91,73.09
6037123205,Census Tract 1232.05,123205,2492,1785,96,36,58,0,445,72,71.63,3.85,1.44,2.33,0,17.86,2.89,600,1892,24.08,75.92
6037123206,Census Tract 1232.06,123206,2572,1649,19,0,60,0,760,84,64.11,0.74,0,2.33,0,29.55,3.27,394,2178,15.32,84.68
6037123301,Census Tract 1233.01,123301,4530,2309,210,16,1241,0,473,281,50.97,4.64,0.35,27.4,0,10.44,6.2,2899,1631,64,36
6037123303,Census Tract 1233.03,123303,3087,2018,55,0,162,0,696,156,65.37,1.78,0,5.25,0,22.55,5.05,1324,1763,42.89,57.11
6037123304,Census Tract 1233.04,123304,4362,3029,55,150,289,0,675,164,69.44,1.26,3.44,6.63,0,15.47,3.76,2383,1979,54.63,45.37
6037123410,Census Tract 1234.10,123410,4181,3073,89,0,244,0,738,37,73.5,2.13,0,5.84,0,17.65,0.88,1923,2258,45.99,54.01
6037123420,Census Tract 1234.20,123420,4408,3238,203,0,281,0,678,8,73.46,4.61,0,6.37,0,15.38,0.18,2010,2398,45.6,54.4
6037123510,Census Tract 1235.10,123510,4795,2652,159,15,296,0,1467,206,55.31,3.32,0.31,6.17,0,30.59,4.3,2446,2349,51.01,48.99
6037123520,Census Tract 1235.20,123520,2816,1952,5,89,51,0,659,60,69.32,0.18,3.16,1.81,0,23.4,2.13,1178,1638,41.83,58.17
6037123601,Census Tract 1236.01,123601,4803,3626,281,0,118,0,656,122,75.49,5.85,0,2.46,0,13.66,2.54,3109,1694,64.73,35.27
6037123602,Census Tract 1236.02,123602,3659,2578,261,0,160,0,587,73,70.46,7.13,0,4.37,0,16.04,2,2397,1262,65.51,34.49
6037123700,Census Tract 1237,123700,4435,3365,208,25,100,0,629,108,75.87,4.69,0.56,2.25,0,14.18,2.44,3076,1359,69.36,30.64
6037123800,Census Tract 1238,123800,6018,4657,383,19,202,0,495,262,77.38,6.36,0.32,3.36,0,8.23,4.35,4466,1552,74.21,25.79
6037123901,Census Tract 1239.01,123901,4696,2467,325,2,383,173,1226,120,52.53,6.92,0.04,8.16,3.68,26.11,2.56,2279,2417,48.53,51.47
6037123902,Census Tract 1239.02,123902,2668,1763,86,0,371,9,317,122,66.08,3.22,0,13.91,0.34,11.88,4.57,1905,763,71.4,28.6
6037124000,Census Tract 1240,124000,5219,4318,119,0,273,0,73,436,82.74,2.28,0,5.23,0,1.4,8.35,4491,728,86.05,13.95
6037124102,Census Tract 1241.02,124102,3551,2435,138,11,177,0,578,212,68.57,3.89,0.31,4.98,0,16.28,5.97,1747,1804,49.2,50.8
6037124103,Census Tract 1241.03,124103,1950,1257,39,0,139,0,451,64,64.46,2,0,7.13,0,23.13,3.28,676,1274,34.67,65.33
6037124104,Census Tract 1241.04,124104,2492,1720,169,0,28,10,437,128,69.02,6.78,0,1.12,0.4,17.54,5.14,1019,1473,40.89,59.11
6037124105,Census Tract 1241.05,124105,2538,1700,81,13,132,0,511,101,66.98,3.19,0.51,5.2,0,20.13,3.98,1103,1435,43.46,56.54
6037124201,Census Tract 1242.01,124201,3348,2375,17,26,234,0,530,166,70.94,0.51,0.78,6.99,0,15.83,4.96,1291,2057,38.56,61.44
6037124203,Census Tract 1242.03,124203,2384,1774,46,0,138,7,369,50,74.41,1.93,0,5.79,0.29,15.48,2.1,1027,1357,43.08,56.92
6037124204,Census Tract 1242.04,124204,2192,1561,70,0,112,0,400,49,71.21,3.19,0,5.11,0,18.25,2.24,976,1216,44.53,55.47
6037124300,Census Tract 1243,124300,2988,2500,65,0,155,0,194,74,83.67,2.18,0,5.19,0,6.49,2.48,1255,1733,42,58
6037124400,Census Tract 1244,124400,4858,4068,141,11,217,2,231,188,83.74,2.9,0.23,4.47,0.04,4.76,3.87,3934,924,80.98,19.02
6037124500,Census Tract 1245,124500,2925,2092,126,0,171,0,156,380,71.52,4.31,0,5.85,0,5.33,12.99,2402,523,82.12,17.88
6037124600,Census Tract 1246,124600,2691,2084,138,12,91,0,37,329,77.44,5.13,0.45,3.38,0,1.37,12.23,2351,340,87.37,12.63
6037124700,Census Tract 1247,124700,5539,4582,62,25,290,12,128,440,82.72,1.12,0.45,5.24,0.22,2.31,7.94,4589,950,82.85,17.15
6037124902,Census Tract 1249.02,124902,2706,1933,344,0,154,0,72,203,71.43,12.71,0,5.69,0,2.66,7.5,2182,524,80.64,19.36
6037124903,Census Tract 1249.03,124903,3499,2809,235,12,255,0,41,147,80.28,6.72,0.34,7.29,0,1.17,4.2,2582,917,73.79,26.21
6037125100,Census Tract 1251,125100,5892,4522,622,20,424,2,165,137,76.75,10.56,0.34,7.2,0.03,2.8,2.33,4703,1189,79.82,20.18
6037125200,Census Tract 1252,125200,3907,2973,87,1,213,37,230,366,76.09,2.23,0.03,5.45,0.95,5.89,9.37,2688,1219,68.8,31.2
6037125310,Census Tract 1253.10,125310,4313,2672,713,0,93,0,646,189,61.95,16.53,0,2.16,0,14.98,4.38,2555,1758,59.24,40.76
6037125320,Census Tract 1253.20,125320,5106,3640,316,63,611,0,265,211,71.29,6.19,1.23,11.97,0,5.19,4.13,3686,1420,72.19,27.81
6037125401,Census Tract 1254.01,125401,4966,3109,766,0,603,8,62,418,62.61,15.42,0,12.14,0.16,1.25,8.42,4038,928,81.31,18.69
6037125402,Census Tract 1254.02,125402,4889,3526,284,0,350,0,499,230,72.12,5.81,0,7.16,0,10.21,4.7,4058,831,83,17
6037125501,Census Tract 1255.01,125501,3052,2213,317,5,251,0,154,112,72.51,10.39,0.16,8.22,0,5.05,3.67,2446,606,80.14,19.86
6037125502,Census Tract 1255.02,125502,3488,2559,183,9,364,11,186,176,73.37,5.25,0.26,10.44,0.32,5.33,5.05,2902,586,83.2,16.8
6037125600,Census Tract 1256,125600,2811,2401,72,0,192,0,36,110,85.41,2.56,0,6.83,0,1.28,3.91,2096,715,74.56,25.44
6037127102,Census Tract 1271.02,127102,5779,2094,311,0,380,0,2831,163,36.23,5.38,0,6.58,0,48.99,2.82,1615,4164,27.95,72.05
6037127103,Census Tract 1271.03,127103,3109,1348,116,0,238,0,1237,170,43.36,3.73,0,7.66,0,39.79,5.47,1289,1820,41.46,58.54
6037127104,Census Tract 1271.04,127104,3821,1914,149,0,244,0,1414,100,50.09,3.9,0,6.39,0,37.01,2.62,1845,1976,48.29,51.71
6037127210,Census Tract 1272.10,127210,5838,2175,625,0,567,0,2370,101,37.26,10.71,0,9.71,0,40.6,1.73,2287,3551,39.17,60.83
6037127220,Census Tract 1272.20,127220,5045,2393,258,0,374,0,1797,223,47.43,5.11,0,7.41,0,35.62,4.42,1874,3171,37.15,62.85
6037127300,Census Tract 1273,127300,3809,1308,194,82,436,12,1679,98,34.34,5.09,2.15,11.45,0.32,44.08,2.57,1594,2215,41.85,58.15
6037127400,Census Tract 1274,127400,6558,2489,107,16,268,0,3512,166,37.95,1.63,0.24,4.09,0,53.55,2.53,1525,5033,23.25,76.75
6037127520,Census Tract 1275.20,127520,4870,1183,270,8,346,0,3018,45,24.29,5.54,0.16,7.1,0,61.97,0.92,1139,3731,23.39,76.61
6037127603,Census Tract 1276.03,127603,3068,1128,55,8,62,7,1790,18,36.77,1.79,0.26,2.02,0.23,58.34,0.59,585,2483,19.07,80.93
6037127604,Census Tract 1276.04,127604,3157,1404,44,16,294,0,1261,138,44.47,1.39,0.51,9.31,0,39.94,4.37,1160,1997,36.74,63.26
6037127605,Census Tract 1276.05,127605,4329,911,108,26,336,0,2840,108,21.04,2.49,0.6,7.76,0,65.6,2.49,971,3358,22.43,77.57
6037127606,Census Tract 1276.06,127606,3322,1420,166,12,329,0,1245,150,42.75,5,0.36,9.9,0,37.48,4.52,1333,1989,40.13,59.87
6037127711,Census Tract 1277.11,127711,3588,1992,308,7,247,0,989,45,55.52,8.58,0.2,6.88,0,27.56,1.25,1688,1900,47.05,52.95
6037127712,Census Tract 1277.12,127712,3560,1767,318,0,221,0,1218,36,49.63,8.93,0,6.21,0,34.21,1.01,1644,1916,46.18,53.82
6037127803,Census Tract 1278.03,127803,4790,1702,175,25,273,0,2476,139,35.53,3.65,0.52,5.7,0,51.69,2.9,1861,2929,38.85,61.15
6037127804,Census Tract 1278.04,127804,4352,2007,227,39,543,0,1407,129,46.12,5.22,0.9,12.48,0,32.33,2.96,2237,2115,51.4,48.6
6037127805,Census Tract 1278.05,127805,3627,1374,338,0,281,33,1584,17,37.88,9.32,0,7.75,0.91,43.67,0.47,1231,2396,33.94,66.06
6037127806,Census Tract 1278.06,127806,3293,1530,144,0,326,0,1240,53,46.46,4.37,0,9.9,0,37.66,1.61,1307,1986,39.69,60.31
6037127910,Census Tract 1279.10,127910,5097,1646,255,0,387,0,2793,16,32.29,5,0,7.59,0,54.8,0.31,1258,3839,24.68,75.32
6037127920,Census Tract 1279.20,127920,4716,2600,48,0,211,0,1673,184,55.13,1.02,0,4.47,0,35.47,3.9,1927,2789,40.86,59.14
6037128101,Census Tract 1281.01,128101,3735,1991,126,8,178,0,1259,173,53.31,3.37,0.21,4.77,0,33.71,4.63,1846,1889,49.42,50.58
6037128102,Census Tract 1281.02,128102,4625,1952,346,51,377,0,1866,33,42.21,7.48,1.1,8.15,0,40.35,0.71,1752,2873,37.88,62.12
6037128210,Census Tract 1282.10,128210,5008,1869,372,59,203,0,2345,160,37.32,7.43,1.18,4.05,0,46.83,3.19,1117,3891,22.3,77.7
6037128220,Census Tract 1282.20,128220,2912,1993,143,0,132,0,608,36,68.44,4.91,0,4.53,0,20.88,1.24,1680,1232,57.69,42.31
6037128302,Census Tract 1283.02,128302,5000,3487,153,0,129,0,1162,69,69.74,3.06,0,2.58,0,23.24,1.38,1104,3896,22.08,77.92
6037128303,Census Tract 1283.03,128303,4176,2893,32,0,71,0,1180,0,69.28,0.77,0,1.7,0,28.26,0,623,3553,14.92,85.08
6037128400,Census Tract 1284,128400,4502,2971,369,0,374,0,676,112,65.99,8.2,0,8.31,0,15.02,2.49,3051,1451,67.77,32.23
6037128500,Census Tract 1285,128500,4108,2819,286,0,380,0,415,208,68.62,6.96,0,9.25,0,10.1,5.06,3454,654,84.08,15.92
6037128601,Census Tract 1286.01,128601,4369,2340,237,66,357,34,1110,225,53.56,5.42,1.51,8.17,0.78,25.41,5.15,2366,2003,54.15,45.85
6037128602,Census Tract 1286.02,128602,3472,2977,101,0,115,0,215,64,85.74,2.91,0,3.31,0,6.19,1.84,2905,567,83.67,16.33
6037128702,Census Tract 1287.02,128702,5810,4275,610,14,461,0,180,270,73.58,10.5,0.24,7.93,0,3.1,4.65,4555,1255,78.4,21.6
6037128801,Census Tract 1288.01,128801,3419,2119,252,0,484,0,234,330,61.98,7.37,0,14.16,0,6.84,9.65,2828,591,82.71,17.29
6037128802,Census Tract 1288.02,128802,4670,3326,245,0,671,0,222,206,71.22,5.25,0,14.37,0,4.75,4.41,3914,756,83.81,16.19
6037128910,Census Tract 1289.10,128910,4657,3482,343,0,378,15,77,362,74.77,7.37,0,8.12,0.32,1.65,7.77,3924,733,84.26,15.74
6037131010,Census Tract 1310.10,131010,6686,3239,135,294,1060,0,1725,233,48.44,2.02,4.4,15.85,0,25.8,3.48,2837,3849,42.43,57.57
6037131020,Census Tract 1310.20,131020,6704,3179,338,29,551,4,2312,291,47.42,5.04,0.43,8.22,0.06,34.49,4.34,2036,4668,30.37,69.63
6037131100,Census Tract 1311,131100,3197,1959,27,6,311,0,787,107,61.28,0.84,0.19,9.73,0,24.62,3.35,1786,1411,55.86,44.14
6037131200,Census Tract 1312,131200,3417,2317,198,0,240,12,498,152,67.81,5.79,0,7.02,0.35,14.57,4.45,1941,1476,56.8,43.2
6037131300,Census Tract 1313,131300,5102,2694,128,0,707,50,1401,122,52.8,2.51,0,13.86,0.98,27.46,2.39,1914,3188,37.51,62.49
6037131400,Census Tract 1314,131400,6367,2833,363,49,1302,20,1667,133,44.5,5.7,0.77,20.45,0.31,26.18,2.09,3611,2756,56.71,43.29
6037131600,Census Tract 1316,131600,5336,2598,160,73,659,0,1617,229,48.69,3,1.37,12.35,0,30.3,4.29,2310,3026,43.29,56.71
6037131701,Census Tract 1317.01,131701,5587,3054,419,39,661,0,1142,272,54.66,7.5,0.7,11.83,0,20.44,4.87,2756,2831,49.33,50.67
6037131702,Census Tract 1317.02,131702,3770,1800,587,61,625,0,583,114,47.75,15.57,1.62,16.58,0,15.46,3.02,1903,1867,50.48,49.52
6037131800,Census Tract 1318,131800,6157,2920,483,20,719,0,1705,310,47.43,7.84,0.32,11.68,0,27.69,5.03,2543,3614,41.3,58.7
6037131900,Census Tract 1319,131900,4597,2527,233,21,426,0,1146,244,54.97,5.07,0.46,9.27,0,24.93,5.31,2614,1983,56.86,43.14
6037132001,Census Tract 1320.01,132001,3463,1768,185,0,430,0,687,393,51.05,5.34,0,12.42,0,19.84,11.35,2355,1108,68,32
6037132002,Census Tract 1320.02,132002,3354,2030,189,0,81,0,777,277,60.52,5.64,0,2.42,0,23.17,8.26,1850,1504,55.16,44.84
6037132101,Census Tract 1321.01,132101,4645,1610,420,37,400,0,1815,363,34.66,9.04,0.8,8.61,0,39.07,7.81,2399,2246,51.65,48.35
6037132102,Census Tract 1321.02,132102,5401,2711,325,0,1015,0,1185,165,50.19,6.02,0,18.79,0,21.94,3.05,3005,2396,55.64,44.36
6037132300,Census Tract 1323,132300,7912,4242,57,108,1211,0,2205,89,53.61,0.72,1.37,15.31,0,27.87,1.12,3016,4896,38.12,61.88
6037132501,Census Tract 1325.01,132501,4566,2734,85,0,355,8,1118,266,59.88,1.86,0,7.77,0.18,24.49,5.83,2042,2524,44.72,55.28
6037132502,Census Tract 1325.02,132502,3922,2303,206,0,372,0,797,244,58.72,5.25,0,9.48,0,20.32,6.22,2489,1433,63.46,36.54
6037132700,Census Tract 1327,132700,4873,2608,34,0,377,93,1612,149,53.52,0.7,0,7.74,1.91,33.08,3.06,1821,3052,37.37,62.63
6037132900,Census Tract 1329,132900,3885,2684,67,0,406,0,495,233,69.09,1.72,0,10.45,0,12.74,6,2969,916,76.42,23.58
6037133000,Census Tract 1330,133000,4778,2916,70,0,461,0,1288,43,61.03,1.47,0,9.65,0,26.96,0.9,2310,2468,48.35,51.65
6037133100,Census Tract 1331,133100,5609,3906,293,51,578,0,678,103,69.64,5.22,0.91,10.3,0,12.09,1.84,3889,1720,69.33,30.67
6037134001,Census Tract 1340.01,134001,3864,1805,11,0,503,0,1468,77,46.71,0.28,0,13.02,0,37.99,1.99,1019,2845,26.37,73.63
6037134002,Census Tract 1340.02,134002,3665,1999,143,29,429,0,1033,32,54.54,3.9,0.79,11.71,0,28.19,0.87,1777,1888,48.49,51.51
6037134101,Census Tract 1341.01,134101,5579,2026,139,0,1154,0,1951,309,36.31,2.49,0,20.68,0,34.97,5.54,2709,2870,48.56,51.44
6037134103,Census Tract 1341.03,134103,4659,2356,284,44,527,51,1321,76,50.57,6.1,0.94,11.31,1.09,28.35,1.63,2487,2172,53.38,46.62
6037134104,Census Tract 1341.04,134104,4618,1502,345,0,1275,20,1370,106,32.52,7.47,0,27.61,0.43,29.67,2.3,2664,1954,57.69,42.31
6037134201,Census Tract 1342.01,134201,4735,2171,122,80,621,11,1452,278,45.85,2.58,1.69,13.12,0.23,30.67,5.87,2276,2459,48.07,51.93
6037134302,Census Tract 1343.02,134302,4112,2160,69,0,850,0,772,261,52.53,1.68,0,20.67,0,18.77,6.35,2876,1236,69.94,30.06
6037134303,Census Tract 1343.03,134303,5942,3491,108,77,878,0,1142,246,58.75,1.82,1.3,14.78,0,19.22,4.14,3569,2373,60.06,39.94
6037134304,Census Tract 1343.04,134304,3042,1414,222,0,718,0,645,43,46.48,7.3,0,23.6,0,21.2,1.41,2097,945,68.93,31.07
6037134305,Census Tract 1343.05,134305,4183,1281,69,0,361,4,2370,98,30.62,1.65,0,8.63,0.1,56.66,2.34,710,3473,16.97,83.03
6037134306,Census Tract 1343.06,134306,4305,2330,299,35,526,0,1029,86,54.12,6.95,0.81,12.22,0,23.9,2,2000,2305,46.46,53.54
6037134421,Census Tract 1344.21,134421,4234,3536,114,16,383,0,12,173,83.51,2.69,0.38,9.05,0,0.28,4.09,3913,321,92.42,7.58
6037134422,Census Tract 1344.22,134422,4924,3127,187,20,1060,0,267,263,63.51,3.8,0.41,21.53,0,5.42,5.34,4129,795,83.85,16.15
6037134423,Census Tract 1344.23,134423,3539,2426,299,14,588,0,14,198,68.55,8.45,0.4,16.61,0,0.4,5.59,3266,273,92.29,7.71
6037134424,Census Tract 1344.24,134424,2916,2060,51,0,567,0,65,173,70.64,1.75,0,19.44,0,2.23,5.93,2735,181,93.79,6.21
6037134520,Census Tract 1345.20,134520,6065,2837,177,66,628,11,2203,143,46.78,2.92,1.09,10.35,0.18,36.32,2.36,1613,4452,26.6,73.4
6037134521,Census Tract 1345.21,134521,3691,1220,12,0,242,0,2210,7,33.05,0.33,0,6.56,0,59.88,0.19,364,3327,9.86,90.14
6037134522,Census Tract 1345.22,134522,4167,1990,178,0,91,0,1780,128,47.76,4.27,0,2.18,0,42.72,3.07,939,3228,22.53,77.47
