FIPS,Area Name,Census Tract,Total Population:,Total: White,Total: Black,Total: AmerIndian,Total: Asian,Total: Hawaiian and PacIslander,Total: Other,Total: Mixed,% Total: White,% Total: Black,% Total: AmerIndian,% Total: Asian,% Total: Hawaiian and PacIslander,% Total: Other,% Total: Mixed,Total: Not Hispanic or Latino,Total: Hispanic or Latino,% Total: Not Hispanic or Latino,% Total: Hispanic or Latino
6037600201,Census Tract 6002.01,600201,5063,1971,2090,28,2,0,927,45,38.93,41.28,0.55,0.04,0,18.31,0.89,2210,2853,43.65,56.35
6037600202,Census Tract 6002.02,600202,7767,3105,2696,54,11,0,1873,28,39.98,34.71,0.7,0.14,0,24.11,0.36,2787,4980,35.88,64.12
6037600302,Census Tract 6003.02,600302,3086,865,1913,102,12,0,134,60,28.03,61.99,3.31,0.39,0,4.34,1.94,1940,1146,62.86,37.14
6037600303,Census Tract 6003.03,600303,3883,1446,1334,9,2,0,989,103,37.24,34.35,0.23,0.05,0,25.47,2.65,1398,2485,36,64
6037600304,Census Tract 6003.04,600304,3910,1654,1446,42,44,0,659,65,42.3,36.98,1.07,1.13,0,16.85,1.66,1422,2488,36.37,63.63
6037600400,Census Tract 6004,600400,4147,524,3239,0,0,0,258,126,12.64,78.1,0,0,0,6.22,3.04,3497,650,84.33,15.67
6037600501,Census Tract 6005.01,600501,2712,305,1921,26,49,0,363,48,11.25,70.83,0.96,1.81,0,13.38,1.77,2074,638,76.47,23.53
6037600502,Census Tract 6005.02,600502,2097,764,872,0,85,0,348,28,36.43,41.58,0,4.05,0,16.6,1.34,1100,997,52.46,47.54
6037600601,Census Tract 6006.01,600601,2653,102,2164,8,3,0,195,181,3.84,81.57,0.3,0.11,0,7.35,6.82,2305,348,86.88,13.12
6037600602,Census Tract 6006.02,600602,2542,754,891,22,44,0,780,51,29.66,35.05,0.87,1.73,0,30.68,2.01,956,1586,37.61,62.39
6037600702,Census Tract 6007.02,600702,4306,376,3304,0,0,0,598,28,8.73,76.73,0,0,0,13.89,0.65,3484,822,80.91,19.09
6037600703,Census Tract 6007.03,600703,1783,118,1475,0,32,0,29,129,6.62,82.73,0,1.79,0,1.63,7.23,1640,143,91.98,8.02
6037600704,Census Tract 6007.04,600704,3373,435,2720,0,62,0,107,49,12.9,80.64,0,1.84,0,3.17,1.45,2984,389,88.47,11.53
6037600801,Census Tract 6008.01,600801,3199,174,2595,0,52,0,198,180,5.44,81.12,0,1.63,0,6.19,5.63,2824,375,88.28,11.72
6037600802,Census Tract 6008.02,600802,2485,71,2105,0,42,65,131,71,2.86,84.71,0,1.69,2.62,5.27,2.86,2274,211,91.51,8.49
6037600902,Census Tract 6009.02,600902,6491,1512,2899,17,84,0,1601,378,23.29,44.66,0.26,1.29,0,24.66,5.82,3078,3413,47.42,52.58
6037600911,Census Tract 6009.11,600911,3146,1115,1058,34,0,0,804,135,35.44,33.63,1.08,0,0,25.56,4.29,1481,1665,47.08,52.92
6037600912,Census Tract 6009.12,600912,5659,2831,807,52,31,0,1724,214,50.03,14.26,0.92,0.55,0,30.46,3.78,1206,4453,21.31,78.69
6037601001,Census Tract 6010.01,601001,2381,670,1446,12,17,0,131,105,28.14,60.73,0.5,0.71,0,5.5,4.41,1581,800,66.4,33.6
