IYEAR,LOCATION_LATITUDE,LOCATION_LONGITUDE,UNINTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,EST_COST_OPER_PAID,EST_COST_GAS_RELEASED,EST_COST_PROP_DAMAGE,EST_COST_EMERGENCY,EST_COST_ENVIRONMENTAL,EST_COST_OTHER,TOTAL_DAMAGE_COSTS,COSTPAID_ofTOTAL
2016,33.758661,-118.203322,2.98,2.98,0,120,7000,3000,0,0,10000,0
2010,33.811699,-118.180656,120,41,0,15000,250000,230000,270000,0,750000,0
2014,33.86343,-118.16467,2.38,2.38,0,0,5000,25000,0,0,30000,0
2016,33.863,-118.164425,3,3,0,150,9769,0,4121,0,13890,0
2010,33.863333,-118.163889,30,2,0,2700,123000,33000,702000,0,858000,0
2010,33.863186,-118.163396,0.24,0.24,0,0,1000,1000,0,0,2000,0
2013,33.863481,-118.1631222,0.36,0.36,0,50,0,30000,119950,0,149950,0
2014,33.806106,-118.158872,5,5,25000,500,50000,150000,50000,10000,260000,0.096153846
2012,34.00551,-118.14477,0.6,0.4,0,48,8000,5000,1000,2500,16500,0
2011,33.4614,-118.12135,4,1,0,400,4500,3000,0,0,7500,0
2011,33.4604,-118.12035,4,3.8,0,400,0,45000,0,0,45000,0
2017,33.757825,-118.111294,100,100,0,6273,54752,75822,0,0,130574,0
2016,33.76233,-118.10183,1,1,0,0,800,3500,0,0,4300,0
2011,33.5352,-118.0842,1,0.1,0,100,35000,0,1000,0,36000,0
2010,33.956,-117.884167,9,9,0,900,3000,10000,0,0,13000,0
2019,34.02179,-117.83757,0.1,0,0,8,180000,0,0,0,180000,0
2010,34.058206,-117.763553,2.5,2.5,0,292,550,31813,32309,0,64672,0
